Character,Words
BEN, You never made soup for me.
BEN," Good, it's what we wanted."
BEN, How?!
BEN, I'm thinking. How quickly can you put together a team?
BEN," Then don't waste time talking to us.  Hey Colleen, I want that boat."
BEN," Hello, Jack.  You know what's crazy, Jack? A week ago, you and I were in exactly the opposite situation. I was the one locked up and you were the one coming in for visits. And I know that you were angry that I lied to you about who I was; but, hell, do you blame me? I mean, let's face it, if I had told you I was one of those people that you and your friends have been calling Others all this time it would have been right back to Sayid and his -- fists. Wouldn't it?"
BEN," I want for you to change your at--perspective. And, the first step in doing that would be for me to be decent enough to introduce myself honestly, so --  Hi, my name is Benjamin Linus and I've lived on this island all my life.  You're not going to shake? "
BEN," Bring it in, please. "
BEN, They're fine; and they're close. That's all I'm able to tell you right now. 
BEN," Fair enough. It's all I want to tell you. I'm going to make this really simple, Jack. If you cooperate; we send you home."
BEN," When the time is right, I'll tell you..."
BEN," Patience, Jack. Patience."
BEN, Yes.
BEN," Yes, Jack, why would we be here?"
BEN," Your flight crashed on September 22nd, 2004. Today is November 29th. That means you've been on our island for 69 days. Yes, we do have contact with the outside world, Jack. That's how we know that during those 69 days your fellow Americans re-elected George W. Bush; Christopher Reeve has passed away; the Boston Red Sox won the World Series.  What? "
BEN," No, they were down 3 games to none against the Yankees in the league championship, and then they won 8 straight. "
BEN," That's home, Jack. Right there, on the other side of that glass. And if you listen to me -- if you trust me -- if you do what I tell you when the time comes -- I'll take you there. I will take you home."
BEN," Juliet, I need you."
BEN," The sub is back. We have a situation, so come with me now."
BEN, What do you weigh?
BEN, What do you weigh?
BEN,  How old are you?
BEN, Don't lie.
BEN,  Good.
BEN, We turned it off.
BEN, Juliet's taking care of her.
BEN, Jason.
BEN, It's for the pain.
BEN," God, I hate needles."
BEN, Shhh.
BEN,"  Hey. Hey, come on. Hey, move. Let's move. Hey, come on, come on, come on."
BEN,"  Come on, come on, come on, come on. Let's move it. Let's move it. Let's move it. Hippity-hop. Hippity-hop. Hippity-hop."
BEN, Let's move it. Let's move it. Let's move it. Let's move it.
BEN," Come on, come on, come on."
BEN, You know what a pacemaker is?
BEN," They stick them in the tickers of people who've had by-pass work whose hearts need just a little jump -- a kickstart. The rabbit had a small pacemaker set to deliver its kickstart should it get too excited, or anxious, or frightened -- or should it try to escape.  Assuming you were telling the truth about your age and weight your resting heart rate should be about 70 beats per minute. Your active heart rate, however, that would be about 140 -- which is the point at which your pacemaker will cause your heart to explode. Which is how I know that you're going to start behaving now. The watch monitors your pulse. If you get within 15 beats of your danger zone it'll start to beep. If and when it beeps, you're going to want to relax yourself. Do some deep breathing, some yoga."
BEN," Because we're not killers, James. Oh, and one other thing -- Kate..."
BEN," You tell her what we did, what we put in you -- that we're watching you -- you tell her any of these things -- we'll put one in her, too."
BEN, Have you lost your mind? You bring him here?
BEN," Well, this is not why..."
BEN, Danny can wait.
BEN," No, I want him to sit with her for a while longer."
BEN, Good morning. Let's go for a walk.
BEN," Not much further, James -- just at the top of the next rise."
BEN, Something I want you to see.
BEN, Sorry?
BEN," Your heart's not going to blow up, James. The only thing we put inside you was doubt. Oh, the watch is a heart rate monitor, but nothing more.  Look. We gave him a sedative, not a pacemaker."
BEN, You don't.
BEN, The rabbit wasn't the thing I wanted to show you.
BEN, You ever been to Alcatraz -- take the tour? Right now you're standing on a small island roughly twice the size of Alcatraz. And that over there -- that's your island -- the one you've come to know and love. I just wanted you to know there's nowhere to run.
BEN," We did all this because the only way to gain a con man's respect is to con him. And you're pretty good, Sawyer. We're a lot better. Funny thing is, us telling you about the pacemaker wasn't what kept you in line. It was when I threatened her. You work so hard to make her think you don't care -- that you don't need her, but, ""A guy goes nuts if he ain't got nobody. It don't make no difference who the guy is, long as he's with you. I tell you, I tell you a guy gets too lonely and he gets sick."""
BEN," It's from Of Mice and Men. Don't you read? Come on, let's get you back to your cage."
BEN," Good evening, Jack. "
BEN, I was hoping you might join me for a walk.  What? 
BEN, Then don't say no. Why don't you put this on.  I'll wait outside. 
BEN, Sorry? 
BEN," Why are you asking me these questions, Jack? "
BEN, I have no idea what you're talking about. 
BEN, Stay here. 
BEN,"  As we prepare to send Colleen on her way, I'd like to take a moment... "
BEN,  Why did you show him my x-rays? 
BEN, I'd like to talk to him. 
BEN, Alone. Please. 
BEN," And I'm thrilled that you're fine, Jack, but it's private. Doctor-patient confidentiality. "
BEN," We had such a wonderful plan to break you, Jack.  "
BEN, Wear you down till you were convinced we weren't your enemies. Get you to trust us. And then of course we'd lead you to believe that you were choosing to do... whatever we asked you to do. All of this of course assumed that you would get... invested. 
BEN, Has it not occurred to you that Juliet bears a striking resemblance to your ex-wife? 
BEN," I'm telling you this, Jack, because my wonderful plan... got shot to sunshine when you saw my damned x-rays and figured out I was dying. "
BEN," No, I want you to want to save my life. But we're beyond that now, so... all I can ask is that you think about it.  Do you believe in God, Jack? "
BEN," Two days after I found out I had a fatal tumor on my spine, a spinal surgeon fell out of the sky. And if that's not proof of God, I don't know what is. "
BEN,  Oh.
BEN," Alright, then. Whatever you need, it's yours. I'm ready."
BEN," Well, Jack. I'm very disappointed in your decision. "
BEN, Get her out of there.
BEN," If it helps, I was surprised, too. "
BEN," If I were a betting man, I would have picked her and you. "
BEN," Well. I suppose this would be the proverbial nail in my coffin, wouldn't it. "
BEN, Sorry?
BEN, Yes. Of course.
BEN, Done.
BEN, Do you get nervous? Before you do surgery? 
BEN," Whatever happens, everything will be very different, won't it?"
BEN, Juliet. Did Alex ask about me?
BEN," Well, see you on the other side.  I'm ready."
BEN," 20, 19... "
BEN,"  Hey, that's not helping anything. Now, could somebody please get Juliet?"
BEN, I know. I've been able to hear you for a few minutes now. It's very clever of you. I should have seen it coming.
BEN," No, but thanks all the same."
BEN," I'd like to speak to Juliet alone, please, Jack."
BEN," Please, I'm asking you one gentleman to another. It won't hurt you to give me three minutes, will it? Knowing I have only 27 left?"
BEN," The cavalry has arrived, at last."
BEN," We had an excellent surgeon, Jack. His name was Ethan."
BEN, Your bedside manner leaves something to be desired.
BEN, Am I?
BEN," And, here we go again. I've already given you a ticket off this island, Jack. What's it going to cost me this time?"
BEN," Juliet doesn't care about you, Jack. It doesn't matter what she's done. No matter what you think -- she's one of us."
BEN,  Does Isabel have a walkie?
BEN, Then get me something to write on.
BEN, So how do you feel? 
BEN, Alex?
BEN, John!
BEN," All right. It's all right, John. You don't have to point the gun at me. I can tell you where Jack is."
BEN," I'm not sure what you mean, John. What submarine?"
BEN,"  Alex, don't come in here!"
BEN," Alex, please!"
BEN, What is it?
BEN, Where are they now?
BEN, No. Separate them. I want to know how they found us.
BEN, Let me worry about that. Just go.
BEN, Richard? Wait a minute.
BEN, I want you to bring me the man from Tallahassee.
BEN, Just do it. Now.
BEN," No, John, unfortunately we don't have a code for ""There's a man in my closet with a gun to my daughter's head."" Although we obviously should."
BEN," ...OK. But you should know, John, my daughter currently hates me. So I'm not sure holding me hostage is your best option—"
BEN," Would you mind helping me get into my chair? No tricks, I promise.  I just want some dignity. You of all people should understand what it means to want some dignity."
BEN," Thank you. So tell me, John. How do you expect to pilot our submarine? I mean, it's a complicated piece of machinery. You don't just press ""submerge""."
BEN," What's in the pack, John? If you met Mikhail that means you were in the communications station. Which means you found the explosives. So you're not planning to pilot the submarine anywhere, are you? You're planning to destroy it. I know you, John Locke."
BEN," I know you were born in California. I know you were raised in foster care. I know you wasted a big part of your life in Tustin, pushing papers at a company that manufactured industrial boxes. I know you spent the four years prior to your arrival on this island in a wheelchair. And I know how you ended up in it. Tell me, John. Did it hurt?"
BEN," It wasn't easy, you know. Being in that hatch with you all that time. Knowing you had no business walking around. Knowing I couldn't even ask you about it without telling you who I really was."
BEN,  Was it immediate? It started the moment you got here?
BEN, And you were just walking? The feeling returned right after the crash? That day?
BEN," Are you afraid it'll go away, John? Is that why you want to destroy the submarine? Because you know if you ever leave this island you'll be back in the chair?"
BEN, We have two giant hamsters running in a massive wheel at our secret underground lair...
BEN, There's leftovers in the refrigerator. Help yourself.
BEN, I ate most of the dark meat. Sorry.
BEN,"  I know you think you need to do this, John, but if you blow up my submarine, I have a big problem with my people."
BEN,"  I was born on this island. Not many of my people can say that. Most of them were recruited and brought here and as much as they love this place, as much as they would do anything to defend it, they need to know they can leave if they want to. The sub maintains that illusion."
BEN,"  No! They're here because they want to be here! Some of them are just not ready to make a full... commitment yet. But you, John ... You've already made that commitment."
BEN," And now you have a choice. Because if you stop and if you think, I can show you things. Things I know you want to see very badly. Let me put it so you'll understand. Picture a box. You know something about boxes, don't you, John? What if I told you that somewhere on this island, there's a very large box ... and whatever you imagined, whatever you wanted to be in it, when you opened that box, there it would be. What would you say about that, John?"
BEN,"  Why are you so angry, John?"
BEN," You've been here 80 days, John. I've been here my entire life! So how is it that you think you know this island better than I do?"
BEN, Did you have any problems?
BEN," John, she's done enough. Let me take you."
BEN,"  John, before you go you should know—!  Jack and I made a deal. In less than an hour he's leaving this island on that submarine, and it's a one-way ticket. The anomaly wiped out our communications. We have no way of contacting the outside world. Which means when that sub leaves, it can never come back. So whether you destroy the submarine or whether you let it go, the end result is the same. No one will find this island."
BEN, You don't knock?
BEN," And if I said no, would that stop you from leaving?"
BEN," Your friends are only here to rescue you, but you seem to be doing a good job of rescuing yourself, so... I suppose there's no reason to keep them here."
BEN,  You have my word.
BEN," I'll let them go, just as soon as you've left the island."
BEN,"  Well, I guess this is it."
BEN," Well, John, you've really gone and done it now."
BEN," Uncuff him please, Richard."
BEN," Do you remember earlier, John, when you called me a cheater? When you said I didn't deserve to live on this island? Well get this There I was, shaking hands with Jack, and thinking I'd give almost anything to come up with a way to stop him from leaving... because to let him go would be a sign of weakness, of failure, of defeat. People would see that. They would know it. And that, John, would be the end of me. But to kill him... that would be cheating. Because my people also heard me make a promise, and to break my word... that would be the end of me too. And then you came striding out of the jungle, John, to make my dream come true."
BEN," No, John. I'm going to show you what came out of it."
BEN," When I asked you earlier if it hurt when you suffered your injury, I think you misunderstood me. Seems fairly obvious that when a person's back smashes into a hard surface after being thrown from a building, that that's going to sting a little. But I really wasn't asking about the physical pain."
BEN," No, John. I wanted to know what it felt like when your own father tried to kill you."
BEN," He's the reason you destroyed the submarine, isn't he? You're afraid. You're afraid of him, and this is the one place he can never find you. This is the one place he can never get to."
BEN," I don't know how it happened, but you seem to have some communion with this island, John, and that makes you very, very important. You have no idea what you're talking about, of course, but in time you'll have a better understanding of things. So what do I want? I want to help you, John."
BEN, Because I'm in a wheelchair and you're not. Are you ready to see?
BEN, Who left this open? 
BEN, Have him cover it up with the plane. 
BEN, Yes. 
BEN," No, I can convince him to do it. "
BEN," Same way I get anybody to do anything. I find out what he's emotionally invested in, and I exploit it. "
BEN," No, they need to come to us. "
BEN," Michael, of course. "
BEN," Hello, Dr. Burke. My name is Benjamin Linus.  I'm really looking forward to working with you. Watch your step here. "
BEN, It was Sabine's choice to get pregnant. She knew she was taking a risk. 
BEN, I'm not sure I understand.
BEN," No, you're not taking anybody off the Island."
BEN," Your sister won't be giving birth in three months, Juliet. She'll be dead before then. Her cancer is back. "
BEN," Mikhail. I'm sorry, I should have told you sooner, I just didn't see what good it would do."
BEN," You still can. You can go home, Juliet. Be with her in her final days, or you can stay here and help me with our problem. "
BEN," Because if you do, I will cure your sister's cancer. "
BEN," You've been here for six months. You've done extensive work-ups on all of us, have you seen even a trace of cancer?"
BEN," Jacob said he would take care of it himself. Unless, of course, you don't have faith in him. Every woman on this Island needs you. If you choose to stay, I promise you, we will save Rachel's life. "
BEN, Hi. 
BEN," Of course. I was just finishing Carrie. I still don't know why you picked it, but boy is it depressing— "
BEN, What?
BEN," Well, you just told me I have cancer, Juliet, of course I'm surprised."
BEN, I'm not scared.
BEN," I know what I told you, Juliet—"
BEN,"  No, I did not lie to you!"
BEN,  I don't know.
BEN," It's not going to happen Juliet, but I can promise you that Rachel is fine."
BEN, I did!
BEN," No, Juliet—"
BEN, I told you the truth!
BEN, I gave you my word.
BEN,  No.
BEN," Goodwin. Ethan. There might actually be survivors. And you're one of them, a passenger, you're in shock. Listen, learn, don't get involved. I want lists in three days. Go!  So I guess I'm out of the bookclub?"
BEN, Juliet. Juliet! I was looking for you this morning. You and I need to talk. 
BEN, We have some time. It's important. Take a walk with me.
BEN,  Mikhail? We're here.  He never has his walkie on.
BEN," There's something I need to show you. Mikhail! It's Ben. I'm here with Juliet, we're approaching the house.  Don't shoot us..."
BEN," A plane fell out of the sky, Mikhail. Of course we saw it. What do you have so far?"
BEN, I want detailed files on every single passenger.
BEN, Can we uplink to Richard in Acadia Park please?
BEN,  Yesterday you called me a liar. I was hurt by that.
BEN," Hello, Richard, can you hear me?"
BEN," Notice today's date, this is live. OK, Richard."
BEN," A little over two years ago, to everyone's complete surprise, Rachel's cancer went into complete remission. Shortly after she gave birth to a healthy baby boy. His name is Julian.  OK, thank you Richard. You'll wanna get back here as soon as you can; we may have some new visitors."
BEN," I'm not a liar, Juliet."
BEN," That's not our agreement, you need to stay here until your work is finished."
BEN," Then we'll find more mothers. Who knows, maybe there's even one on that plane."
BEN,  Let's go over it again.
BEN, Let's go over it again. Just to be sure. 
BEN, And if she catches you in the lie?
BEN,  Good. What then?
BEN," We've activated the implant in Claire, she should be symptomatic within the next 48 hours. By the time you get to that camp, you'll have a nice big crisis to solve."
BEN, Pryce is already on his way. He'll hide the case at Ethan's old drop-point. Tell Jack that you can save her. He trusts you... are you alright?
BEN,  See you in a week.
BEN, You tell me. You brought him here.
BEN," I'd be careful about getting too close to him, John."
BEN, I already said. We didn't.
BEN, Be my guest.
BEN, Tom!
BEN," I warned you, John."
BEN," I'm afraid we don't have time to deal with that right now, John. We're leaving first thing in the morning, all of us."
BEN," We're going to a new place. Well, an old place, actually. Would you like to come with us?"
BEN," Good. We're holding Kate a few buildings over from here, maybe you'd like to say goodbye."
BEN," Hello, John. Thanks for coming."
BEN, Juliet is gathering information for us at your former camp. She's determining if any of the women are pregnant. Then we're gonna go in and... take them.
BEN," This is not the first time we've done this, John. Trust me, no one will get hurt."
BEN, Could you pass me that please?
BEN, Thank you.
BEN," I believe I have you to thank for this, John. "
BEN," A week ago I couldn't move my toes. But the minute you showed up, I started to feel pins and needles. And this is only the beginning, John. I can't wait to show you what this Island can do. But unfortunately, you're not ready, John."
BEN," No, John, you're not. You're still crippled by the memories of the man you used to be before you came to this Island. And you'll never be free until you release the hold that your father has over you. Why do you think you brought him here?"
BEN," The magic box is a metaphor, John. I can't show you anything until you can show me that you're ready and willing to be one of us. When people join us here on this Island, they need to make a gesture of free will, of commitment. That's why you're gonna have to kill your father."
BEN," Wake up, John. It's time."
BEN, I know it won't be easy. But the quicker the better.
BEN, John. The hesitation that you're feeling is just the part of you that still feels like he has a perfectly good explanation for stealing your kidney. Throwing you out of an eight-story window. Don't you want to be free from him?
BEN," Don't think, John."
BEN," Let go of him, John."
BEN," You're doing this to yourself. As long as he's still breathing, you'll still be that same sad pathetic little man that was kicked off his walkabout tour because you couldn't walk."
BEN, I'm sorry. He's not who we thought he was.
BEN, We're moving.
BEN," We are not going anywhere, John. You are going to stay behind. You both are going to stay behind."
BEN,"  He's your mess, John. Why would we clean it up?"
BEN, Where would you get a ridiculous idea like that?
BEN," Don't tell me what I can't do, John."
