Character,Words
DESMOND," You alright, brother? "
DESMOND," Take it easy. Keep the weight off. Here, let me have a look. Does this hurt?  You haven't sprained it then. I don't fancy your chances of catching up with me tonight, though."
DESMOND," Aye, of course you weren't. "
DESMOND, I was almost a doctor once. 
DESMOND, You a doctor then?  So what's your excuse? 
DESMOND, For running like the devil's chasing you. My excuse - I'm training.
DESMOND," For a race around the world. Impressive, I know. So your excuse better be good, brother. "
DESMOND," Ah, a girl, right? "
DESMOND," Ah, but a girl patient. What's her name? "
DESMOND, What'd you do to her then? 
DESMOND, You must have done something worthy of this self-flagellation. 
DESMOND," Well, right. Just one thing -- what if you did fix her?"
DESMOND, But what if you did? 
DESMOND, I don't? Why not?
DESMOND," Oh, and you don't believe in miracles?  Right. Well then, I'm going to give you some advice anyway. You have to lift it up. (He may be saying ""lift her up"".)"
DESMOND, Your ankle. You've got to keep it elevated. It's been nice chatting. 
DESMOND," Jack, I'm Desmond. Good luck, brother. See you in another life, yeah? "
DESMOND, Are you him? Are you him?
DESMOND, Are you -- are you him?
DESMOND, I can't believe it. You're finally here.
DESMOND, Who's she?
DESMOND, What did one snowman say to the other snowman?
DESMOND, Get rid of the knife. You're not him. 
DESMOND," Yeah, then why did you come?"
DESMOND, Were you now? And when was that?
DESMOND, 44 days? Move.
DESMOND, Shut it.  Tie him up. Do it!
DESMOND," How's that, brother?"
DESMOND," So, what does that make you then, brother? "
DESMOND," All right then, box man, tie her up. "
DESMOND," Hey! You be good girl, right? "
DESMOND," Alright, bring her here. "
DESMOND, So you were traveling from Sydney to Los Angeles?
DESMOND, So the world is still out there? 
DESMOND, My name? My name is Desmond.
DESMOND," Yeah, so I should just hand it over to you then, should I? How many of you are there?"
DESMOND, A raft?
DESMOND, How many of your group have gotten sick.
DESMOND," Sick, as in ill, as in dead!"
DESMOND, Answer the question.
DESMOND," Get up.  Stand right there. Do you know how to use this, box man? "
DESMOND, Do you know how to use it?!
DESMOND, Sit!
DESMOND," Listen carefully, type in exactly what I tell you understand -- exactly, nothing else. 4, 8, 15... Did you hear that?"
DESMOND, What did you just put in? What number did you just put in?!
DESMOND," Right, 16, 23, 42. Now press execute. "
DESMOND, Just push it!
DESMOND, Who the hell is that?
DESMOND, Who is he?
DESMOND, What is he doing here?
DESMOND," Your doctor has a gun, brother.  Move.  Make one sound and I'll shoot. Move."
DESMOND,  Move and I kill him. Put the gun down.
DESMOND, I said drop it.
DESMOND, Do you want him to die? Put it down.
DESMOND,"  Lower your gun or I'll blow his damned head off, brother!"
DESMOND, Do you want him to die? Put it down.
DESMOND, Lower your gun or I'll blow his damned head off.
DESMOND, What did you do? What did you do? We're all going to die. We're all going to die.
DESMOND,  I have to fix it.
DESMOND," Listen, if you do not let me up, we are going to die..."
DESMOND, Look at the wall! You see that?! That's a timer! It's counting down! I've got to enter the code! I've got to push the button! 
DESMOND, Do I know you?
DESMOND, Bastard.
DESMOND," Can you fix a computer?  Then you can't help me, can you?"
DESMOND," Down the corridor to the left. Be persistent, the wheel sticks.  Gotcha."
DESMOND," Please, just let me..."
DESMOND," It was 3 years ago. I was on a solo race around the world, and my boat crashed into the reef, and then Kelvin came."
DESMOND," Kelvin -- he comes running out of the jungle -- hurry, hurry, come with me. He brings me down here. The first thing he does -- because there's beeping already -- he types in the code, he pushes the button, and it stops. What was all that about, I say. Just saving the world, he says. "
DESMOND," His words, not mine. So I started pushing the button, too. And we saved the world together for awhile, and that was lovely. Then Kelvin died, and now here I am all alone. The end."
DESMOND, You don't have to take my word for it. Watch the film. 
DESMOND," The bookcase -- top shelf, behind ""Turn of the Screw"" -- projector's in the pantry."
DESMOND, Do you think I'd be here if I was?
DESMOND, I push this button every 108 minutes. I don't get out much. 
DESMOND, Kelvin died waiting for his replacements.
DESMOND, Why wouldn't it be?
DESMOND," Every -- single -- day. And for all our sakes, I hope it's not real. But the film says this is an electromagnetic station. And I don't know about you, brother, but every time I walk past that concrete wall out there, my fillings hurt.  Right.  Oh no. "
DESMOND, It's over. 
DESMOND, Give him my best.
DESMOND," As far as I can run, brother."
DESMOND," Oh, right. The code, yeah?"
DESMOND," Listen carefully. If by some miracle you manage to get the computer working again you've got to enter the code 4, 8, 15, 16, 23, 42, hit execute. Again 4, 8, 15-"
DESMOND, Sorry?
DESMOND," In about 15 minutes you're either going to be very right, or very wrong, brother. You want to shoot me?! Shoot me! But I'm not-"
DESMOND," I remember you -- running -- I know you -- I met you -- Los Angeles. I was training, yeah? You twisted your ankle..."
DESMOND," You're a doctor, right? There was this girl -- you were worried -- you said, you said you failed her. That was you. "
DESMOND," Was she okay, the girl?"
DESMOND, What happened to her?
DESMOND, How can you say it doesn't matter?
DESMOND," Right, and you're -- you're not married to her anymore, then?"
DESMOND," See you in another life, yeah? "
DESMOND, You. 
DESMOND,"  Do you think I did it on purpose? I was sailing for two and half weeks, bearing due West and making 9 knots. I should have been in Fiji in less than a week. But the first piece of land I saw wasn't Fiji, was it? No. No, it was here—this, this island. And you know why? Because this is it. This is all there is left. This ocean and this place here. We are stuck in a bloody snow globe! There's no outside world! There's no escape! So, just go away, huh. Let me drink. "
DESMOND, Are you still pushing it? 
DESMOND," To avoid temptation, brother. I've read everything Mr. Charles Dickens has ever written - every wonderful word. Every book except this one. I'm saving it so it will be the last thing I ever read before I die. "
DESMOND, Not with you.
DESMOND, Did you bring me a present?
DESMOND," You're a bastard, you know that? "
DESMOND, Is it now?
DESMOND, And what makes you think I would just run away?
DESMOND," I wouldn't waste your time. There's nothing out there, pal. "
DESMOND," Going to see the hostiles, are you?"
DESMOND," You know what, ignorance is bliss. The boat's all yours, brother, for all the good it'll do you. "
DESMOND, Then I suggest you find someone who does.
DESMOND," Just give me which ever one has the most caffeine in it, brother.  Damn, um, I'm sorry. I've just arrived and I spent all my American money on a taxi. "
DESMOND, That's not necessary.
DESMOND," I don't suppose you have 42,000 more of those do you? "
DESMOND, I was joking.
DESMOND," I have 8 months to get into the best shape of my life. I'll tell you what, miss, I'm going to win."
DESMOND, What really matters is who I win it for. 
DESMOND," He tried to buy me off. And when I didn't take his money, he took away the only thing in the world that I ever truly cared about. "
DESMOND, His daughter. I was unsuitable on several levels. 
DESMOND," It's a wee bit complicated. As of yet, I don't actually have a boat.  Sorry, did I say something wrong? "
DESMOND, I'm sorry.
DESMOND," I can't take your boat, miss."
DESMOND, What was your husband's name?
DESMOND, And what did he name his boat?
DESMOND," Then I thank you, Elizabeth. And I shall win this race for love."
DESMOND,"  You're wasting your time, sister. I shot myself with that stuff every 9 days for 3 years.  He's lovely. Is the father here on the Island? "
DESMOND," Well, maybe he knew he'd be a lousy dad—thought he was doing what was best for you. "
DESMOND, How did you find me?
DESMOND, How did you find me? 
DESMOND, Not yet.
DESMOND," I was in prison, not away."
DESMOND," When are you getting married, Pen? "
DESMOND, I'll be back in a year.
DESMOND," I'm going to win this race, Pen—his race. And in a year, I'll be back. "
DESMOND," I have to get my honor back, and that's what I'm running to. "
DESMOND, Smells like carrots.
DESMOND," Hello yourself, box man."
DESMOND," Oh, I insist. So you managed to fix the computer, then, did you? "
DESMOND," I'm not so sure about that, brother. "
DESMOND, 3 years. 
DESMOND, I'd ask you how the hell did you know something like that? 
DESMOND, You're lying.
DESMOND," You're so sure it's not real, then just stop pushing the button!"
DESMOND," Are you sure about this, brother?"
DESMOND," Alright then, box man. We wait."
DESMOND, What? 
DESMOND, What are you talking about? Who are you?
DESMOND," What, what happened to my boat?"
DESMOND," What was all that about, then? "
DESMOND, Why are there missing parts?
DESMOND, Who's Radzinsky?
DESMOND, And what happened to him?
DESMOND, Why do you wear that suit? 
DESMOND," Who is he, box man—the man out there pounding on the door?"
DESMOND, Why does Mr. Eko carry around a stick covered in scripture?
DESMOND, We locked out a priest?
DESMOND," It would take an atom bomb, brother. Tell him not to bother. "
DESMOND," Aye, I'm sure."
DESMOND, Maybe you should do it?
DESMOND, How do you even remember where you left off from? 
DESMOND," Yeah, right, Radzinsky. Radzinsky figured out how to fake a lockdown. Radzinsky created this great invisible map. More and more tales about your former partner. Yet for some reason, you never want to tell me what bloody well happened to him. "
DESMOND," Well, if you don't want me to go crazy, next time let me go out. "
DESMOND," I haven't been outside for 2 bloody years! Yes, I want to go! I was in the army for God's sake!"
DESMOND," Why did you leave your army, Kelvin, huh? "
DESMOND," Please, Kelvin. Let me go out, huh? Just once."
DESMOND," Kelvin! Hey, Kelvin."
DESMOND, What is this? 
DESMOND, What are you talking about?
DESMOND," What's behind that wall, Kelvin? Huh? What was the incident?"
