Character,Words
HURLEY," Oh, you got to be kidding me."
HURLEY, Hey! What's your name?
HURLEY," Dude, I'm not going anywhere."
HURLEY, Hungry?
HURLEY," Anymore, uh... you know, baby stuff?"
HURLEY," Well, hang in there."
HURLEY,  Yeah.
HURLEY," Technically, you know, we don't even know if we're on an island."
HURLEY," So, I was just looking inside the fuselage … It's pretty grim in there. You think we should do something about the, uh …  b-o-d-y-s?"
HURLEY, I don't know if you want to go in there! There's too many bodies.
HURLEY," Hey! We're all this together, man. Let's treat each other with a little respect."
HURLEY, Tsss. Chain-smoking jackass...
HURLEY, Tsss. Some people have problems? Us. Him. You're okay. I like you.
HURLEY,"  Hurley.  Uh, just…"
HURLEY, How do you know to do all that?
HURLEY, Oh yeah? You ever see battle?
HURLEY, No way! I got a buddy who fought over there. He was in the 104th airborne. What were you - Air Force... Army?
HURLEY," What's that? What, that? What, eat that?  Dude. Dude. I'm... starving... But, I'm nowhere near that hungry.  No. No. No, thank you! No way, no. "
HURLEY, Okay.
HURLEY, What's this for? 
HURLEY, You sure he's out?
HURLEY, How do you know he won't wake up when you yank that thing out?
HURLEY," Hey, guy, are you awake? Yo, there's a rescue plane! We're saved! Yaaay!  Yeah, he's out. So—what do you want me..."
HURLEY," Uh... I'm not so good around blood, man."
HURLEY, Yeah. But.. I'm not so good around blood.
HURLEY, Okay .
HURLEY, Dude. 
HURLEY, Dude.
HURLEY, I don't think I can.
HURLEY," ""Oh"" what? What, what's going on, something in there? "
HURLEY, Was it a dinosaur?
HURLEY, You say you didn't see it. 
HURLEY, So how do you know it wasn't a dinosaur?
HURLEY, Oh. Yeah.  So what's his story? He looks kind of... dying.
HURLEY," He's yellow, man."
HURLEY, What if they don't?
HURLEY, He looks like he's in pain.
HURLEY," What's this? Uh, dude? Uh...  What do you think she did?"
HURLEY, She looks pretty hard core.
HURLEY," Dude, dude, they're back."
HURLEY, So what'd she say?
HURLEY, But you told her you knew?
HURLEY," Well, you kind of know she's in that mug shot. And that we found those handcuffs. And that guy keeps mumbling ""she's dangerous, she's dangerous"" over and over."
HURLEY," Yeah, you're right. We'll let Johnny Fever take care of her when he gets better."
HURLEY, That stuff I got from the luggage...
HURLEY," We went through everything, man."
HURLEY, That's inside the plane.
HURLEY," But, the bodies are in there, and they're all... dead."
HURLEY, Great. Yeah - love to - on it.
HURLEY, I was going to get some more water.
HURLEY," Hi, Kate."
HURLEY, Hurley.
HURLEY," Yeah, no. Uh, he went to go get some medicine... over there."
HURLEY," What? Yeah, in the uh, uh, you know? I've got to get that water. "
HURLEY," Yo, so, where's the fugitive?"
HURLEY, You let her in there alone?
HURLEY," Yeah, but she's got that gun."
HURLEY," She's strapped, man. I saw it in her... in her... in her... in her..."
HURLEY," Oh, no way. Guys?"
HURLEY,"  Man, is he still breathing?"
HURLEY,  Oh boy.
HURLEY," Oh crud, now what?"
HURLEY, What's your problem? Hand them over.
HURLEY, There's other people here or don't you give a crap? 
HURLEY, Oh that's bull and you know it. You're not happy unless you're screwing over everybody... 
HURLEY, Jethro here's hoarding the last of the peanuts.
HURLEY," There is no rest of the food, dude. We kind of—ate it all."
HURLEY, Who is this guy?
HURLEY," Dude, quit asking me that. "
HURLEY," Yeah, off the Santa Monica pier with my old man and a fishing pole and bait. Never had to try and poke one with a sharp stick."
HURLEY," Anything to keep me far away from that fuselage and that freakin' redneck jerk.  Damn it, crap, crap, son of a..."
HURLEY," Knock yourself out. Okay, here comes one. Put your weight into it. Now, you see it? Wait for it, wait... now. . Dude, you've got to try to pin it. "
HURLEY," So, like, what happened out there?"
HURLEY, Hey Jack! 
HURLEY," Whoa. You look tired, brother. "
HURLEY, We got a problem. 
HURLEY," People just kind of took what they needed because we were supposed to be rescued, but we weren't. "
HURLEY," People find out this is all we have left, they're going to freak out, man. "
HURLEY, Maybe we can make one of those water finding sticks.
HURLEY, Maybe the dog can find water?
HURLEY," I mean, dogs can find pot and bombs, so I'm sure they can find water."
HURLEY, Why not? 
HURLEY," Uh, the Chinese people have water. "
HURLEY,"  Guys, that Chinese dude is going to get pretty crispy out here. How long are you going to keep him tied down like that?"
HURLEY," Hey man, I go where the boar's at. So, what's up with you and Kate? You guys going to move into a cave together, or what? "
HURLEY," Well, that wasn't a denial. "
HURLEY, Short walk. They lied. 
HURLEY," Dude, what's in these things, cinderblocks?"
HURLEY," Oh, could I?"
HURLEY," Hey, dude. This yours?"
HURLEY," Listen, uh, man. Jack just wants you to find another place for it. He's moving supplies and says it's in the way. "
HURLEY," Oh, no. "
HURLEY," Charlie, where's Jack? Where's Jack?"
HURLEY," Jack, Jack can you hear me? "
HURLEY," Dude, we gotta get help. Charlie, go down to the beach and get help."
HURLEY, And make sure you tell Kate!
HURLEY, Jack's in there.
HURLEY," Well, how do you know-"
HURLEY, Locke's out in the jungle killing stuff. Who knows where he is.
HURLEY," Jack? Jack? Can you hear me, Jack? Come on dude, answer me."
HURLEY, I hear him.
HURLEY," Jack, bro, you okay?"
HURLEY,  What do we do? How do we get him out? 
HURLEY, He's okay. He made it out. 
HURLEY," What, crawl through that?"
HURLEY," Dude, we don't understand Chinese."
HURLEY, Charlie?
HURLEY," Good luck, Charlie."
HURLEY, I say we try again.
HURLEY," If we don't move, they're going to run out of air. "
HURLEY,  He's in there.
HURLEY, How'd you get out?
HURLEY," Dude, you rock. "
HURLEY,"  Dude, you feeling okay? You look a little..."
HURLEY," Oh man, that's rough after all you've been through. Take it easy, man. "
HURLEY," Wow, man. That was awesome. I mean, that was like a -- Jedi moment. "
HURLEY," Food from the plane's been gone for over a week, dude."
HURLEY," Sorry, man. No peanut butter. No peanuts. No nothing. "
HURLEY, Look at what?
HURLEY," Fat guy hoarding the food, is that what you think?"
HURLEY, Slimmed down much? 
HURLEY," I have no food, alright?! And for the record, I'm down a notch in my belt. I'm a big guy, it's going to be a while before you're going to want to give me a piggy back ride, okay?"
HURLEY, Yeah. I'm used to it. 
HURLEY, Dude.
HURLEY," Uh, you know, the usual -- people yelling at each other over nothing. "
HURLEY, Try to keep your mind off it? What else has that guy got to do but stress?
HURLEY," Yeah, but that's like my point, man. We're all fried. I'm mean, have you taken a look at everybody out there? Everybody's way tense. Dude, I'm just saying, it'd be sweet if we could have, I don't know, something to do."
HURLEY, How? 
HURLEY, Yo. What's this? 
HURLEY, What are you guys doing out in the jungle at night?
HURLEY," Rodent, yum."
HURLEY," You got that right. Alright, well, I'll take a look at these , and see if there's anything useful."
HURLEY,"  Whoa, dude. "
HURLEY,  Come on. Come on. I know I saw it.  Yes. 
HURLEY," Hold on, man. I'm busy."
HURLEY,"  Dude, can I borrow this?"
HURLEY,"  Thanks, man."
HURLEY," Welcome, to the first, and hopefully last, Island Open. "
HURLEY," It's two holes for now, 3 par, and no waiting. "
HURLEY, Rich idiots fly to tropical islands all the time to whack balls around.
