Character,Word Count
ALL,4
ARABIC REPORTER,30
BEN,303
CARMEN,22
CAROLE,169
CHARLOTTE,10
COPILOT,14
DAVID,157
DESMOND,61
FARADAY,153
FEMALE REPORTER #1,89
FEMALE REPORTER #2,5
FRANK,9
HENDRICKS,51
HURLEY,286
JACK,656
JIN,14
JULIET,86
KATE,198
KEAMY,35
LAPIDUS,128
LOCKE,132
MALE REPORTER #1,41
MALE REPORTER #3,5
MALE REPORTER #4,49
MAN,6
MARGO,31
MICHAEL,88
MILES,6
MR. PAIK,58
MS. DECKER,308
NADIA,4
PILOT,30
RICHARD,34
ROSE,27
SAWYER,197
SAYID,133
SUN,200
UNDERLING,9
WOMAN,5
